replicate,condition,pre_primary,post_primary,improvement,pre_lines_cleared,post_lines_cleared,lines_improvement,pre_elo,training_steps,tutorial,pre_hole_avoidance,pre_stack_height_management,pre_surface_smoothness,pre_line_clearing_efficiency,post_hole_avoidance,post_stack_height_management,post_surface_smoothness,post_line_clearing_efficiency
0,control,23.5,29.833333333333332,6.333333333333332,0.16666666666666666,1.0,0.8333333333333334,1500.0,40,ordinary_practice,-47.960872982852386,-14.428962937647148,-23.805628778798116,0.007575757575757576,-40.23952569586003,-13.74018753818229,-18.678981188726315,0.02766955266955267
0,rating_only,23.5,29.666666666666668,6.166666666666668,0.16666666666666666,0.6666666666666666,0.5,1500.0,40,rating_tier_board,-47.960872982852386,-14.428962937647148,-23.805628778798116,0.007575757575757576,-43.62082493950828,-14.055939919122595,-17.777660572661553,0.020556609740670462
0,rating_history,23.5,30.5,7.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,40,height_management,-47.960872982852386,-14.428962937647148,-23.805628778798116,0.007575757575757576,-36.41093035471511,-13.41935715609937,-17.76627966258806,0.01075268817204301
1,control,28.5,29.166666666666668,0.6666666666666679,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,ordinary_practice,-35.0718649273247,-13.493792191205985,-18.623747187252935,0.0,-38.326721481696126,-14.130243890659713,-20.702454119578867,0.004901960784313725
1,rating_only,28.5,28.666666666666668,0.16666666666666785,0.0,0.0,0.0,1500.0,40,rating_tier_board,-35.0718649273247,-13.493792191205985,-18.623747187252935,0.0,-37.4579579424407,-13.564392312668176,-19.082276727104315,0.0
1,rating_history,28.5,28.666666666666668,0.16666666666666785,0.0,0.0,0.0,1500.0,40,hole_management,-35.0718649273247,-13.493792191205985,-18.623747187252935,0.0,-37.84661442006269,-13.51619644723093,-18.74616456340594,0.0
2,control,26.166666666666668,26.333333333333332,0.1666666666666643,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,ordinary_practice,-38.81117994207756,-13.06815507307092,-20.619689107059372,0.011328725038402458,-37.49651797477885,-13.884591254156472,-20.318197502980112,0.005952380952380952
2,rating_only,26.166666666666668,27.333333333333332,1.1666666666666643,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,rating_tier_board,-38.81117994207756,-13.06815507307092,-20.619689107059372,0.011328725038402458,-38.13969239561131,-13.7655928090086,-19.616297976367942,0.005208333333333333
2,rating_history,26.166666666666668,26.833333333333332,0.6666666666666643,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,hole_management,-38.81117994207756,-13.06815507307092,-20.619689107059372,0.011328725038402458,-39.3158543616877,-13.582517636684305,-17.87082315832316,0.0
3,control,25.333333333333332,25.833333333333332,0.5,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,ordinary_practice,-39.81194444444444,-12.5946632996633,-16.505258136924805,0.0,-39.10079561642062,-13.577504478546146,-19.725206121039452,0.005208333333333333
3,rating_only,25.333333333333332,25.666666666666668,0.3333333333333357,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-39.81194444444444,-12.5946632996633,-16.505258136924805,0.0,-38.69895090010033,-13.213386257208096,-17.932258966023333,0.005747126436781609
3,rating_history,25.333333333333332,24.666666666666668,-0.6666666666666643,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,hole_management,-39.81194444444444,-12.5946632996633,-16.505258136924805,0.0,-38.34594739667203,-13.232660455486542,-19.506297446514836,0.006172839506172839
4,control,26.166666666666668,29.0,2.833333333333332,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,ordinary_practice,-44.624775964775964,-14.052359492359493,-17.20009842009842,0.0,-36.738396768504295,-14.088804972407123,-17.79273340160437,0.005555555555555556
4,rating_only,26.166666666666668,28.5,2.333333333333332,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-44.624775964775964,-14.052359492359493,-17.20009842009842,0.0,-37.303533739156656,-13.81484209153842,-15.65911197626993,0.005952380952380952
4,rating_history,26.166666666666668,27.833333333333332,1.6666666666666643,0.0,0.0,0.0,1500.0,40,surface_management,-44.624775964775964,-14.052359492359493,-17.20009842009842,0.0,-38.186612908507605,-13.692931961438635,-16.259976870998376,0.0
5,control,26.833333333333332,26.0,-0.8333333333333321,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,ordinary_practice,-35.57250301932367,-12.884435386473431,-16.59330012077295,0.0,-39.59424603174603,-13.169126984126983,-19.862103174603174,0.012619047619047618
5,rating_only,26.833333333333332,28.0,1.1666666666666679,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,rating_tier_board,-35.57250301932367,-12.884435386473431,-16.59330012077295,0.0,-38.01952823864589,-13.29194877381152,-19.153470476509693,0.01045751633986928
5,rating_history,26.833333333333332,26.0,-0.8333333333333321,0.0,0.0,0.0,1500.0,40,surface_management,-35.57250301932367,-12.884435386473431,-16.59330012077295,0.0,-38.27621701969528,-13.154607922941256,-19.27129358296025,0.0
6,control,28.166666666666668,27.5,-0.6666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-32.58429726180931,-12.629945481261759,-19.39599026881192,0.005747126436781609,-34.78105976560278,-12.886250497809637,-18.831135859361666,0.0
6,rating_only,28.166666666666668,26.0,-2.166666666666668,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,rating_tier_board,-32.58429726180931,-12.629945481261759,-19.39599026881192,0.005747126436781609,-36.959591685095866,-13.030077744956596,-18.15960723031865,0.0
6,rating_history,28.166666666666668,27.166666666666668,-1.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,surface_management,-32.58429726180931,-12.629945481261759,-19.39599026881192,0.005747126436781609,-33.8336165310803,-12.864250510627322,-20.36780468592063,0.0
7,control,27.0,26.333333333333332,-0.6666666666666679,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,ordinary_practice,-42.33239138469023,-14.013889684177041,-18.21676991378141,0.012345679012345678,-39.84648351648352,-13.268214964048298,-19.6697266313933,0.0
7,rating_only,27.0,26.0,-1.0,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,rating_tier_board,-42.33239138469023,-14.013889684177041,-18.21676991378141,0.012345679012345678,-39.60767094017094,-13.154777167277167,-18.847741147741147,0.0
7,rating_history,27.0,26.333333333333332,-0.6666666666666679,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,surface_management,-42.33239138469023,-14.013889684177041,-18.21676991378141,0.012345679012345678,-39.44217948717949,-13.32636514719848,-20.25305996472663,0.006410256410256411
